"time","I.pob","R.pob","S.pob","dia"
28,271.5290868307661,315.4392408117885,413.0316723574455,28
28.2,272.6485683249558,323.2136604135772,404.1377712614668,28.2
28.4,273.5796788785708,331.0173764025906,395.4029447188382,28.4
28.6,274.3239802208536,338.8450240289667,386.8309957501789,28.6
28.8,274.8835525509124,346.6912914903424,378.4251559587445,28.8
29,275.2609541743345,354.550934469474,370.1881113561906,29
29.2,275.4591698195957,362.4187889792867,362.1220412011168,29.2
29.4,275.481619199273,370.2897869748592,354.2285938258671,29.4
29.6,275.3320586914772,378.1589567533964,346.5089845551258,29.6
29.8,275.0146174000249,386.0214538588358,338.9639287411387,29.8
30,274.533701397729,393.8725340514065,331.5937645508637,30
30.2,273.8940008044391,401.7076051031942,324.3983940923657,30.2
30.4,273.1004449186257,409.5221885589478,317.3773665224252,30.4
30.6,272.1581624281023,417.3119642528237,310.5298733190728,30.6
30.8,271.0724643118049,425.0727532963417,303.8547823918523,30.8
31,269.848804189064,432.8005330941268,297.350662716808,31
31.2,268.4927480936784,440.4914411706168,291.0158107357038,31.2
31.4,267.0099496524111,448.1417753925861,284.848274955002,31.4
31.6,265.4061151839738,455.7480034601194,278.845881355906,31.6
31.8,263.6869921385361,463.3067449840648,273.0062628773985,31.8
32,261.8583206154264,470.8148008022005,267.3268785823723,32
32.2,259.9258566453224,478.2691128107749,261.8050305439019,32.2
32.4,257.8952928516336,485.6668034648794,256.437903683486,32.4
32.6,255.7723096826847,493.0051433947703,251.2225469225439,32.6
32.8,253.5624950217226,500.2815694316504,246.1559355466259,32.8
33,251.2713735232591,507.4936771046386,241.2349493721015,33
33.2,248.9043729266091,514.639220798659,236.4564062747311,33.2
33.4,246.4668109231317,521.7161099062318,231.8170791706361,33.4
33.6,243.963895755668,528.7224061576201,227.3136980867117,33.6
33.8,241.4006969584848,535.656322885097,222.9429801564181,33.8
34,238.7821690810707,542.5162053189712,218.7016255999578,34
34.2,236.1131032742259,549.3005492439177,214.5863474818561,34.2
34.4,233.3981756081126,556.0079707152204,210.5938536766664,34.4
34.6,230.6418865137064,562.6372215296254,206.7208919566675,34.6
34.8,227.8486083034047,569.1871807770196,202.964210919575,34.8
35,225.0225439880431,575.6568458028706,199.3206102090858,35
35.2,222.1677473148617,582.0453379839231,195.7869147012148,35.2
35.4,219.2881127871818,588.3518958245089,192.3599913883091,35.4
35.6,216.3873749246743,594.5758661584554,189.0367589168706,35.6
35.8,213.4691148334121,600.7167016452181,185.81418352137,35.8
36,210.5367498853042,606.773958160135,182.6892919545609,36
36.2,207.5935558064035,612.7472756106205,179.659168582976,36.2
36.4,204.642643138014,618.6363907733314,176.7209660886544,36.4
36.6,201.6869877339179,624.4411220695844,173.8718901964971,36.6
36.8,198.7294090363353,630.1613653492457,171.1092256144186,36.8
37,195.7725886080278,635.7971065225678,168.4303048694042,37
37.2,192.8190650252869,641.3483988029196,165.8325361717934,37.2
37.4,189.8712396331646,646.815372890335,163.3133874765007,37.4
37.6,186.9313785992952,652.1982310906486,160.8703903100568,37.6
37.8,184.0016180531123,657.497236626337,158.5011453205512,37.8
38,181.0839697510345,662.7127089389013,156.2033213100645,38
38.2,178.1803204087998,667.8450269345767,153.9746526566236,38.2
38.4,175.2924455601797,672.8946103774224,151.8129440623975,38.4
38.6,172.4220031612495,677.8619286242217,149.7160682145284,38.6
38.8,169.5705445907629,682.7475016901354,147.6819537191011,38.8
39,166.7395166395353,687.5518810254009,145.7086023350635,39
39.2,163.9302613641224,692.2756745233152,143.7940641125626,39.2
39.4,161.1440251481092,696.9195223003643,141.9364525515269,39.4
39.6,158.3819592977533,701.4841022168082,140.133938485439,39.6
39.8,155.6451241384735,705.9701282196448,138.3847476418821,39.8
40,152.9344948886053,710.3783414853934,136.6871636260017,40
40.2,150.2509663647938,714.709501109808,135.0395325253982,40.2
40.4,147.595354023231,718.9643948904633,133.4402510863055,40.4
40.6,144.9684011618746,723.1438251129373,131.8877737251877,40.6
